"person_id","Name","birth_year","death_year","ceda_id","Target","first_year","last_year"
5,William Adam,NA,NA,3,ESL,1844,1844
7,William (1) Adams,NA,NA,3,ESL,1844,1844
8,William (2) Adams,"1,820","1,900",3,ESL,1858,1871
12,Louis Agassiz,"1,807","1,873",3,ESL,1860,1871
14,Augustine Aglio,"1,777","1,857",3,ESL,1843,1845
16,William Francis Harrison Ainsworth,"1,807","1,896",3,ESL,1856,1860
18,Alexander Muirhead Aitken,NA,NA,3,ESL,1864,1871
22,Rutherford Alcock,"1,809","1,897",3,ESL,1862,1871
23,William Aldam,"1,813","1,890",3,ESL,1844,1848
28,William Allen,NA,NA,3,ESL,1858,1858
33,William Amhurst Tyssen Amhurst,"1,835","1,909",3,ESL,1862,1871
38,W  P Andrew,NA,NA,3,ESL,1844,1847
39,x Andrews,NA,NA,3,ESL,1850,1850
40,Matthew John Anketell,NA,NA,3,ESL,1861,1868
41,Thomas Chisholm Anstey,"1,816","1,873",3,ESL,1852,1863
42,x Antrim,"1,851","1,918",3,ESL,1870,1871
43,William Appleyard,NA,NA,3,ESL,1854,1871
45,Frederick Scott Archer,"1,813","1,857",3,ESL,1844,1851
51,William Armstrong,"1,810","1,900",3,ESL,1865,1871
54,William Arthur,"1,819","1,901",3,ESL,1853,1870
58,James Ashbury,"1,834","1,895",3,ESL,1867,1868
60,William Henry Ashurst,"1,819","1,879",3,ESL,1863,1871
61,Henry Ashworth,"1,794","1,880",3,ESL,1866,1868
66,Charles A Atkins,NA,NA,3,ESL,1862,1863
67,E Atkinson,NA,NA,3,ESL,1861,1861
73,Alois Auer,"1,813","1,869",3,ESL,1853,1869
74,Arthur Daniel Aulton,"1,828","1,889",3,ESL,1862,1863
80,Edward Backhouse,"1,808","1,879",3,ESL,1870,1871
81,James (1) Backhouse,"1,794","1,869",3,ESL,1869,1869
82,Carl Ernst von Baer,"1,792","1,876",3,ESL,1861,1871
83,John Bagehot,NA,NA,3,ESL,1865,1865
84,Walter ('Badgett') Bagehot,"1,826","1,877",3,ESL,1865,1871
94,John Baker,"1,813","1,872",3,ESL,1861,1871
95,Samuel C Baker,"1,821","1,893",3,ESL,1866,1871
96,William Bailey Baker,"1,828","1,865",3,ESL,1858,1871
98,George Balfour,"1,809","1,894",3,ESL,1865,1871
100,John Bannister,NA,NA,3,ESL,1846,1846
108,John  Wheeldon Barnes,"1,825","1,893",3,ESL,1870,1871
109,Robert Barnewall,NA,NA,3,ESL,1844,1847
118,John Stothert Bartrum,"1,817","1,904",3,ESL,1865,1871
119,Adolf Bastian,"1,826","1,905",3,ESL,1869,1871
123,Thomas Bateman,"1,821","1,861",3,ESL,1861,1861
129,Thomas Henry Baylis,"1,817","1,908",3,ESL,1870,1871
132,Lionel John Beale,"1,796","1,871",3,ESL,1853,1869
133,Frank Carr Beard,NA,NA,3,ESL,1853,1853
136,William Beattie,"1,793","1,875",3,ESL,1859,1863
138,Richard Beaumont,NA,NA,3,ESL,1856,1863
144,x Beechey,"1,796","1,856",3,ESL,1855,1856
151,James Bell,"1,818","1,872",3,ESL,1852,1862
152,John Bell (2),"1,811","1,895",3,ESL,1852,1855
153,Robert Bell,NA,NA,3,ESL,1844,1844
154,William Abraham Bell,"1,841","1,921",3,ESL,1869,1871
159,Lewis F Bellot,NA,NA,3,ESL,1844,1844
169,Richard Bentley,"1,794","1,871",3,ESL,1843,1844
170,Bartholomew Bernasconi,NA,NA,3,ESL,1850,1850
177,Thomas Bigg,NA,NA,3,ESL,1863,1867
183,R S Birkbeck,NA,NA,3,ESL,1869,1869
188,W H Black,NA,NA,3,ESL,1869,1869
190,William Blackmore,"1,827","1,878",3,ESL,1866,1871
192,J H Blackwell,NA,NA,3,ESL,1869,1869
195,Henry Jules Blanc,NA,NA,3,ESL,1866,1871
205,Henry George Bohn,"1,796","1,884",3,ESL,1861,1871
206,John Peter Boileau,"1,794","1,869",3,ESL,1860,1863
207,Henry James Bolding,NA,"1,888",3,ESL,1845,1845
209,William Bollaert,"1,807","1,876",3,ESL,1862,1870
210,Louis Lucien Bonaparte,"1,813","1,891",3,ESL,1862,1871
211,E Bonavia,NA,NA,3,ESL,1870,1871
212,George Bonavia,"1,818","1,901",3,ESL,1869,1871
215,George Bonham,"1,803","1,863",3,ESL,1861,1863
220,James Bonwick,"1,817","1,906",3,ESL,1869,1871
225,Beriah Botfield,"1,807","1,863",3,ESL,1844,1863
226,x Boucher de Crevecoeur de Perthes,"1,788","1,868",3,ESL,1861,1868
227,x Boudin,"1,806","1,867",3,ESL,1861,1867
230,x Bourien,NA,NA,3,ESL,1865,1865
231,Philip Bourjeaurd,NA,NA,3,ESL,1850,1856
232,Sydney Edward Bouverie Bouverie-Pusey,"1,839","1,911",3,ESL,1862,1871
233,Frederick Bower,NA,NA,3,ESL,1846,1846
235,Robert Bowie,NA,NA,3,ESL,1845,1845
237,John Bowring,"1,792","1,872",3,ESL,1844,1869
239,William Boxall,"1,800","1,879",3,ESL,1844,1850
245,Charles Holt Bracebridge,"1,799","1,872",3,ESL,1844,1871
246,Thomas Braddell,"1,823","1,891",3,ESL,1866,1871
250,James Brady,NA,NA,3,ESL,1844,1844
252,William Bragge,"1,823","1,884",3,ESL,1870,1871
254,Thomas Henry Brain,NA,NA,3,ESL,1846,1846
260,William Brent Brent,NA,"1,857",3,ESL,1844,1857
262,D J Breuneis,NA,NA,3,ESL,1850,1850
264,Edmund J Bridell,NA,NA,3,ESL,1843,1851
265,John Briggs,"1,785","1,875",3,ESL,1845,1871
266,Lindsay Brine,"1,834","1,906",3,ESL,1869,1871
271,Benjamin Collins Brodie,"1,783","1,862",3,ESL,1844,1862
278,Henry (1) Brookes,NA,NA,3,ESL,1868,1871
281,x Brougham,"1,778","1,868",3,ESL,1844,1868
288,John Brown,"1,801","1,879",3,ESL,1844,1844
292,J  Cave Browne,NA,NA,3,ESL,1861,1861
296,Henry Brunskill,NA,NA,3,ESL,1849,1849
298,Walter Buchannan,"1,797","1,883",3,ESL,1863,1863
300,James Silk Buckingham,"1,786","1,855",3,ESL,1844,1844
301,W E Buckley,NA,NA,3,ESL,1843,1856
304,James Wentworth Buller,"1,798","1,865",3,ESL,1861,1863
306,x Bunsen,"1,791","1,860",3,ESL,1853,1860
313,Luke Burke,NA,"1,885",3,ESL,1861,1864
318,George Busk,"1,807","1,886",3,ESL,1863,1871
327,Oliver Byrne,"1,810","1,890",3,ESL,1845,1847
336,Charles Duncan Cameron,NA,"1,870",3,ESL,1861,1869
337,Archibald Campbell,"1,805","1,874",3,ESL,1866,1871
339,George (1) Campbell,"1,824","1,892",3,ESL,1866,1870
340,George (2) Campbell,NA,NA,3,ESL,1862,1863
348,Walter Campbell,NA,NA,3,ESL,1870,1871
350,William Camps,NA,"1,887",3,ESL,1844,1871
358,Frederick Stanley Carpenter,"1,817","1,890",3,ESL,1866,1871
361,George Carter,NA,NA,3,ESL,1860,1860
373,Richard Cavendish,"1,794","1,876",3,ESL,1864,1867
375,Edwin Chadwick,"1,800","1,890",3,ESL,1845,1848
376,Hugo Mavesyn Chadwick,"1,793","1,854",3,ESL,1852,1854
379,Charles Harcourt Chambers,"1,826","1,876",3,ESL,1862,1871
380,Escott Chambers,NA,NA,3,ESL,1869,1869
387,William Charlton,"1,814","1,880",3,ESL,1855,1871
389,Frederick Chatfield,"1,801","1,872",3,ESL,1860,1862
393,William Dinsdale Child,NA,"1,879",3,ESL,1844,1871
395,Robert Walker Childs,NA,NA,3,ESL,1844,1844
399,T J Cholmondeley,"1,818","1,883",3,ESL,1868,1871
401,William Dingle Chowne,"1,791","1,870",3,ESL,1844,1844
403,Henry Christy,"1,810","1,865",3,ESL,1854,1865
405,James Graham Churcher,NA,NA,3,ESL,1862,1863
408,x Clark,NA,NA,3,ESL,1843,1848
410,James Clark,"1,788","1,870",3,ESL,1844,1870
411,C Clarke,NA,NA,3,ESL,1843,1843
413,Hyde Clarke,"1,815","1,895",3,ESL,1867,1867
414,John Clarke,"1,802","1,879",3,ESL,1855,1855
415,Robert Clarke,NA,NA,3,ESL,1862,1871
417,William Aloysius Clavering,"1,800","1,872",3,ESL,1861,1871
419,William Clay,"1,791","1,869",3,ESL,1861,1868
424,John Clendinning,NA,NA,3,ESL,1844,1848
427,William Clift,"1,775","1,849",3,ESL,1844,1849
428,Edward North Clifton,NA,NA,3,ESL,1844,1844
432,Thomas Coates,NA,NA,3,ESL,1844,1844
436,W  Spencer Cockings,NA,NA,3,ESL,1862,1866
444,Thomas Edward Colebrooke,"1,813","1,890",3,ESL,1860,1871
446,John Sherrard Coleman,"1,828","1,905",3,ESL,1854,1871
448,x Collier,NA,NA,3,ESL,1844,1844
454,W W Collins,NA,"1,880",3,ESL,1862,1871
457,x Colonsay,"1,793","1,874",3,ESL,1867,1871
459,John Conolly,"1,794","1,866",3,ESL,1851,1855
